% number of locations
36
% for each location: node, x, y
0, 0, 0
1, 855, 345
2, 811, 283
3, 706, 872
4, 811, 156
5, 328, 225
6, 815, 312
7, 832, 452
8, 931, 272
9, 794, 393
10, 835, 227
11, 827, 429
12, 789, 323
13, 806, 338
14, 804, 216
15, 726, 219
16, 866, 347
17, 808, 307
18, 748, 873
19, 682, 829
20, 649, 945
21, 731, 782
22, 702, 818
23, 661, 876
24, 786, 178
25, 756, 151
26, 827, 43
27, 812, 202
28, 770, 145
29, 752, 47
30, 309, 223
31, 308, 167
32, 296, 210
33, 315, 168
34, 351, 227
35, 346, 251
% number of vessels
7
% number of vessel types
3
% for each vesseltype: vessel_id, battery range, operational cost, speed, passenger capacity, fixed cost
1, 1500, 3, 20, 12, 15000 
2, 2000, 6, 22, 17, 17500 
3, 2750, 11, 25, 25, 22500 
% number of charging stations
5
% for each charging station: node, x, y
1, 855, 345
2, 811, 283
3, 706, 872
4, 811, 156
5, 328, 225
% number of jobs
30
% for each job: node, crew needed
6, 6
7, 1
8, 9
9, 5
10, 6
11, 4
12, 7
13, 2
14, 7
15, 5
16, 1
17, 5
18, 3
19, 5
20, 6
21, 5
22, 2
23, 5
24, 6
25, 5
26, 6
27, 4
28, 5
29, 4
30, 4
31, 4
32, 8
33, 5
34, 4
35, 1
% number of nodes
60
% for each node: node, binary
6, 0
6, 1
7, 0
7, 1
8, 0
8, 1
9, 0
9, 1
10, 0
10, 1
11, 0
11, 1
12, 0
12, 1
13, 0
13, 1
14, 0
14, 1
15, 0
15, 1
16, 0
16, 1
17, 0
17, 1
18, 0
18, 1
19, 0
19, 1
20, 0
20, 1
21, 0
21, 1
22, 0
22, 1
23, 0
23, 1
24, 0
24, 1
25, 0
25, 1
26, 0
26, 1
27, 0
27, 1
28, 0
28, 1
29, 0
29, 1
30, 0
30, 1
31, 0
31, 1
32, 0
32, 1
33, 0
33, 1
34, 0
34, 1
35, 0
35, 1
% costs
% fixed penalty
5000
% penalty per crew
1000
% preprocessing
% PreferredCS 
(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)
