% number of locations
50
% for each location: node, x, y
0, 0, 0
1, 514, 656
2, 369, 437
3, 849, 923
4, 268, 979
5, 648, 447
6, 125, 554
7, 462, 509
8, 514, 611
9, 489, 619
10, 586, 732
11, 488, 640
12, 481, 659
13, 513, 698
14, 402, 398
15, 353, 485
16, 356, 469
17, 344, 363
18, 275, 476
19, 346, 321
20, 811, 820
21, 792, 940
22, 877, 909
23, 848, 836
24, 840, 904
25, 917, 907
26, 227, 967
27, 350, 924
28, 190, 1000
29, 247, 980
30, 273, 980
31, 184, 972
32, 577, 416
33, 683, 483
34, 672, 441
35, 658, 504
36, 584, 436
37, 716, 429
38, 44, 450
39, 129, 548
40, 190, 583
41, 124, 585
42, 226, 559
43, 201, 600
44, 472, 465
45, 407, 548
46, 435, 451
47, 440, 452
48, 488, 448
49, 419, 445
% number of vessels
10
% number of vessel types
3
% for each vesseltype: vessel_id, battery range, operational cost, speed, passenger capacity, fixed cost
1, 1500, 3, 20, 12, 15000 
2, 2000, 6, 22, 17, 17500 
3, 2750, 11, 25, 25, 22500 
% number of charging stations
7
% for each charging station: node, x, y
1, 514, 656
2, 369, 437
3, 849, 923
4, 268, 979
5, 648, 447
6, 125, 554
7, 462, 509
% number of jobs
42
% for each job: node, crew needed
8, 1
9, 4
10, 4
11, 3
12, 4
13, 8
14, 4
15, 5
16, 5
17, 3
18, 1
19, 5
20, 3
21, 6
22, 1
23, 3
24, 6
25, 3
26, 8
27, 5
28, 9
29, 5
30, 4
31, 6
32, 3
33, 5
34, 4
35, 4
36, 7
37, 2
38, 6
39, 4
40, 1
41, 2
42, 7
43, 4
44, 4
45, 7
46, 4
47, 7
48, 3
49, 5
% number of nodes
84
% for each node: node, binary
8, 0
8, 1
9, 0
9, 1
10, 0
10, 1
11, 0
11, 1
12, 0
12, 1
13, 0
13, 1
14, 0
14, 1
15, 0
15, 1
16, 0
16, 1
17, 0
17, 1
18, 0
18, 1
19, 0
19, 1
20, 0
20, 1
21, 0
21, 1
22, 0
22, 1
23, 0
23, 1
24, 0
24, 1
25, 0
25, 1
26, 0
26, 1
27, 0
27, 1
28, 0
28, 1
29, 0
29, 1
30, 0
30, 1
31, 0
31, 1
32, 0
32, 1
33, 0
33, 1
34, 0
34, 1
35, 0
35, 1
36, 0
36, 1
37, 0
37, 1
38, 0
38, 1
39, 0
39, 1
40, 0
40, 1
41, 0
41, 1
42, 0
42, 1
43, 0
43, 1
44, 0
44, 1
45, 0
45, 1
46, 0
46, 1
47, 0
47, 1
48, 0
48, 1
49, 0
49, 1
% costs
% fixed penalty
5000
% penalty per crew
1000
% preprocessing
% PreferredCS 
(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)
(2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0)
(3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0)
