% number of locations
50
% for each location: node, x, y
0, 0, 0
1, 276, 842
2, 747, 138
3, 367, 324
4, 554, 536
5, 130, 420
6, 935, 340
7, 926, 241
8, 300, 842
9, 226, 906
10, 193, 897
11, 318, 818
12, 219, 765
13, 244, 886
14, 743, 109
15, 698, 132
16, 776, 129
17, 705, 76
18, 784, 219
19, 755, 142
20, 219, 370
21, 374, 294
22, 395, 343
23, 354, 348
24, 385, 358
25, 358, 336
26, 472, 452
27, 540, 556
28, 593, 555
29, 651, 563
30, 593, 518
31, 620, 533
32, 104, 410
33, 88, 376
34, 179, 368
35, 187, 418
36, 233, 469
37, 193, 490
38, 865, 278
39, 892, 386
40, 1000, 292
41, 1000, 297
42, 886, 348
43, 973, 244
44, 944, 197
45, 886, 174
46, 940, 213
47, 932, 277
48, 951, 143
49, 828, 275
% number of vessels
10
% number of vessel types
3
% for each vesseltype: vessel_id, battery range, operational cost, speed, passenger capacity, fixed cost
1, 2000, 1, 20, 10, 5000 
2, 3000, 2, 22, 15, 10000 
3, 4500, 3.5, 25, 25, 17000 
% number of charging stations
7
% for each charging station: node, x, y
1, 276, 842
2, 747, 138
3, 367, 324
4, 554, 536
5, 130, 420
6, 935, 340
7, 926, 241
% number of jobs
42
% for each job: node, crew needed
8, 1
9, 3
10, 5
11, 9
12, 4
13, 3
14, 4
15, 5
16, 1
17, 6
18, 1
19, 5
20, 4
21, 5
22, 8
23, 7
24, 4
25, 6
26, 2
27, 2
28, 4
29, 5
30, 5
31, 3
32, 5
33, 5
34, 5
35, 6
36, 4
37, 1
38, 6
39, 5
40, 1
41, 1
42, 3
43, 3
44, 8
45, 4
46, 4
47, 1
48, 4
49, 6
% number of nodes
84
% for each node: node, binary
8, 0
8, 1
9, 0
9, 1
10, 0
10, 1
11, 0
11, 1
12, 0
12, 1
13, 0
13, 1
14, 0
14, 1
15, 0
15, 1
16, 0
16, 1
17, 0
17, 1
18, 0
18, 1
19, 0
19, 1
20, 0
20, 1
21, 0
21, 1
22, 0
22, 1
23, 0
23, 1
24, 0
24, 1
25, 0
25, 1
26, 0
26, 1
27, 0
27, 1
28, 0
28, 1
29, 0
29, 1
30, 0
30, 1
31, 0
31, 1
32, 0
32, 1
33, 0
33, 1
34, 0
34, 1
35, 0
35, 1
36, 0
36, 1
37, 0
37, 1
38, 0
38, 1
39, 0
39, 1
40, 0
40, 1
41, 0
41, 1
42, 0
42, 1
43, 0
43, 1
44, 0
44, 1
45, 0
45, 1
46, 0
46, 1
47, 0
47, 1
48, 0
48, 1
49, 0
49, 1
% costs
% fixed penalty
2000
% penalty per crew
750
% preprocessing
% PreferredCS 
(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)
(2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0)
(3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0), (3, 0)
(4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0), (4, 0)
(5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0), (5, 0)
(6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0), (6, 0)
(7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0), (7, 0)
(5, 454.95), (1, 24.0), (2, 833.92), (3, 522.32), (4, 397.68), (5, 454.95), (6, 809.46), (7, 867.8), (1, 24.0), (1, 24.0), (1, 24.0), (1, 24.0), (1, 24.0), (1, 24.0), (2, 833.92), (4, 397.68), (4, 397.68), (4, 397.68), (4, 397.68), (4, 397.68), (1, 24.0), (3, 522.32), (1, 24.0), (1, 24.0), (1, 24.0), (1, 24.0), (1, 24.0), (1, 24.0), (4, 397.68), (1, 24.0), (4, 397.68), (4, 397.68), (5, 454.95), (5, 454.95), (1, 24.0), (1, 24.0), (1, 24.0), (1, 24.0), (4, 397.68), (4, 397.68), (6, 809.46), (6, 809.46), (4, 397.68), (4, 397.68), (4, 397.68), (4, 397.68), (7, 867.8), (4, 397.68), (4, 397.68), (4, 397.68)
(5, 495.39), (1, 81.22), (2, 928.04), (3, 598.84), (4, 494.45), (5, 495.39), (6, 907.21), (7, 965.52), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (3, 598.84), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (5, 495.39), (5, 495.39), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22), (6, 907.21), (6, 907.21), (1, 81.22), (1, 81.22), (1, 81.22), (4, 494.45), (1, 81.22), (1, 81.22), (1, 81.22), (1, 81.22)
(5, 481.14), (1, 99.57), (2, 939.68), (3, 598.84), (4, 510.53), (5, 481.14), (6, 927.8), (7, 983.68), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (2, 939.68), (1, 99.57), (4, 510.53), (1, 99.57), (1, 99.57), (3, 598.84), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (1, 99.57), (5, 481.14), (5, 481.14), (5, 481.14), (1, 99.57), (1, 99.57), (1, 99.57), (4, 510.53), (1, 99.57), (6, 927.8), (6, 927.8), (1, 99.57), (1, 99.57), (4, 510.53), (4, 510.53), (4, 510.53), (1, 99.57), (4, 510.53), (4, 510.53)
(5, 440.17), (1, 48.37), (2, 804.02), (3, 496.42), (4, 367.72), (5, 440.17), (6, 780.5), (7, 838.21), (1, 48.37), (1, 48.37), (1, 48.37), (1, 48.37), (1, 48.37), (1, 48.37), (2, 804.02), (4, 367.72), (4, 367.72), (4, 367.72), (4, 367.72), (4, 367.72), (1, 48.37), (3, 496.42), (3, 496.42), (3, 496.42), (3, 496.42), (3, 496.42), (1, 48.37), (4, 367.72), (4, 367.72), (4, 367.72), (4, 367.72), (4, 367.72), (5, 440.17), (5, 440.17), (5, 440.17), (1, 48.37), (1, 48.37), (1, 48.37), (4, 367.72), (4, 367.72), (6, 780.5), (6, 780.5), (4, 367.72), (4, 367.72), (4, 367.72), (4, 367.72), (7, 838.21), (4, 367.72), (4, 367.72), (4, 367.72)
