% number of locations
50
% for each location: node, x, y
0, 0, 0
1, 710, 936
2, 828, 490
3, 657, 851
4, 879, 386
5, 677, 616
6, 240, 240
7, 738, 707
8, 797, 958
9, 656, 963
10, 768, 993
11, 782, 976
12, 648, 909
13, 724, 920
14, 775, 445
15, 838, 543
16, 811, 487
17, 904, 552
18, 716, 477
19, 820, 512
20, 678, 906
21, 693, 864
22, 657, 899
23, 614, 780
24, 765, 892
25, 619, 759
26, 850, 390
27, 821, 383
28, 852, 311
29, 933, 431
30, 988, 408
31, 944, 411
32, 687, 624
33, 698, 640
34, 742, 627
35, 584, 681
36, 753, 645
37, 658, 566
38, 229, 182
39, 197, 282
40, 180, 191
41, 207, 406
42, 290, 245
43, 267, 257
44, 737, 696
45, 767, 759
46, 781, 614
47, 711, 688
48, 871, 706
49, 715, 666
% number of vessels
10
% number of vessel types
3
% for each vesseltype: vessel_id, battery range, operational cost, speed, passenger capacity, fixed cost
1, 2000, 1, 20, 10, 5000 
2, 3000, 2, 22, 15, 10000 
3, 4500, 3.5, 25, 25, 17000 
% number of charging stations
7
% for each charging station: node, x, y
1, 710, 936
2, 828, 490
3, 657, 851
4, 879, 386
5, 677, 616
6, 240, 240
7, 738, 707
% number of jobs
42
% for each job: node, crew needed
8, 5
9, 1
10, 2
11, 7
12, 5
13, 4
14, 4
15, 6
16, 5
17, 3
18, 2
19, 6
20, 8
21, 5
22, 8
23, 3
24, 6
25, 2
26, 5
27, 7
28, 2
29, 5
30, 6
31, 4
32, 5
33, 1
34, 7
35, 4
36, 3
37, 6
38, 5
39, 6
40, 4
41, 6
42, 4
43, 3
44, 3
45, 2
46, 3
47, 4
48, 3
49, 7
% number of nodes
84
% for each node: node, binary
8, 0
8, 1
9, 0
9, 1
10, 0
10, 1
11, 0
11, 1
12, 0
12, 1
13, 0
13, 1
14, 0
14, 1
15, 0
15, 1
16, 0
16, 1
17, 0
17, 1
18, 0
18, 1
19, 0
19, 1
20, 0
20, 1
21, 0
21, 1
22, 0
22, 1
23, 0
23, 1
24, 0
24, 1
25, 0
25, 1
26, 0
26, 1
27, 0
27, 1
28, 0
28, 1
29, 0
29, 1
30, 0
30, 1
31, 0
31, 1
32, 0
32, 1
33, 0
33, 1
34, 0
34, 1
35, 0
35, 1
36, 0
36, 1
37, 0
37, 1
38, 0
38, 1
39, 0
39, 1
40, 0
40, 1
41, 0
41, 1
42, 0
42, 1
43, 0
43, 1
44, 0
44, 1
45, 0
45, 1
46, 0
46, 1
47, 0
47, 1
48, 0
48, 1
49, 0
49, 1
% costs
% fixed penalty
2000
% penalty per crew
750
% preprocessing
% PreferredCS 
(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
